item1,item2,item3,item4,item5,item6,,,
potatoes,burgers ,turkey,beef steak,minced beef,beans,,,
carrots,burgers ,chicken legs,seeded buns,sausages,beans,,,
carrots,burgers ,turkey,seeded buns,sausages,finger rolls,,,
carrots,burgers ,chicken legs,seeded buns,minced beef,beans,,,
cauliflower,tinned ravioli,chicken legs,minced pork,broccoli,spaghetti,,,
cauliflower,tinned ravioli,chicken legs,minced pork,minced beef,beans,,,
cauliflower,burgers ,chicken legs,seeded buns,sausages,beans,,,
cauliflower,burgers ,pork chops,seeded buns,minced beef,beans,,,
cauliflower,finger rolls,turkey,seeded buns,minced beef,spaghetti,,,
cauliflower,tinned ravioli,chicken legs,minced pork,tinned tomatoes,beans,,,
cauliflower,brown loaf,chicken legs,beef steak,tinned tomatoes,finger rolls,,,
cauliflower,tinned ravioli,turkey,minced pork,minced beef,beans,,,
cauliflower,burgers ,chicken legs,seeded buns,sausages,beans,,,
cauliflower,burgers ,chicken legs,seeded buns,minced beef,beans,,,
carrots,finger rolls,pork chops,seeded buns,broccoli,spaghetti,,,
carrots,tinned ravioli,turkey,beef steak,minced beef,spaghetti,,,
carrots,brown loaf,chicken legs,beef steak,tinned tomatoes,finger rolls,,,
carrots,brown loaf,turkey,beef steak,tinned tomatoes,finger rolls,,,
carrots,tinned ravioli,chicken legs,minced pork,sausages,beans,,,
carrots,burgers ,chicken legs,seeded buns,minced beef,spaghetti,,,
carrots,burgers ,chicken legs,seeded buns,minced beef,finger rolls,,,
carrots,burgers ,turkey,seeded buns,sausages,finger rolls,,,
carrots,tinned ravioli,chicken legs,minced pork,broccoli,spaghetti,,,
carrots,finger rolls,turkey,seeded buns,minced beef,spaghetti,,,
carrots,burgers ,chicken legs,seeded buns,minced beef,beans,,,
potatoes,burgers ,turkey,beef steak,minced beef,finger rolls,,,
carrots,burgers ,chicken legs,seeded buns,broccoli,spaghetti,,,
carrots,tinned ravioli,chicken legs,minced pork,broccoli,spaghetti,,,
carrots,tinned ravioli,pork chops,penne pasta,broccoli,spaghetti,,,
carrots,tinned ravioli,pork chops,penne pasta,broccoli,spaghetti,,,
carrots,brown loaf,chicken legs,beef steak,tinned tomatoes,finger rolls,,,
carrots,tinned ravioli,pork chops,penne pasta,broccoli,finger rolls,,,
carrots,brown loaf,chicken legs,beef steak,tinned tomatoes,finger rolls,,,
carrots,finger rolls,chicken legs,seeded buns,minced beef,spaghetti,,,
carrots,tinned ravioli,turkey,beef steak,minced beef,spaghetti,,,
carrots,tinned ravioli,chicken legs,penne pasta,tinned tomatoes,beans,,,
cauliflower,brown loaf,turkey,beef steak,tinned tomatoes,finger rolls,,,
cauliflower,burgers ,chicken legs,seeded buns,sausages,beans,,,
cauliflower,brown loaf,pork chops,beef steak,tinned tomatoes,finger rolls,,,
cauliflower,tinned ravioli,turkey,penne pasta,broccoli,spaghetti,,,
cauliflower,burgers ,pork chops,seeded buns,minced beef,beans,,,
cauliflower,tinned ravioli,pork chops,penne pasta,broccoli,finger rolls,,,
